link,capacity,internal
1-IX_waw-wa1-pb1-nc5_#1,100,False
1AND1_fra-1-n7_#1,100,False
1AND1_fra-fr5-pb2-nc5_#1,100,False
3UTEL_fra-5-n7_#1,100,False
A1 Telekom_vie-vie1-bb1-a72_#4,100,False
A1TEL_vie-vie1-bb1-a72_#4,100,False
A1TEL_vie-vie2-pb1-nc5_#4,100,False
AIRE NETWORKS_mad-mad2-pb1-ptx_#1,100,False
AIRTEL_lon-thw-pb3-nc5_#1,100,False
AKAMAI_par-gsw-pb2-nc5_#1,100,False
ALTICE PORTUGAL_mad-mad2-pb1-ptx_#1,100,False
AMAZON_EQUINIX_#1,100,False
AMAZON_EQUINIX_#4,100,False
AMAZON_FRANCE-IX_#2,100,False
AMAZON_FRANCE-IX_#3,100,False
AMAZON_FRANCE-IX_#4,100,False
AMAZON_JASTEL_#1,100,False
AMAZON_JASTEL_#2,100,False
AMAZON_JASTEL_#3,100,False
AMAZON_JASTEL_#4,100,False
AMAZON_ONLINE_#1,100,False
AMAZON_ONLINE_#2,100,False
AMAZON_ONLINE_#3,100,False
AMAZON_fra-fr5-pb6-nc5_#1,100,False
AMAZON_ldn-5-n7_#1,100,False
AMAZON_ldn-5-n7_#2,100,False
AMAZON_ldn-5-n7_#3,100,False
AMAZON_ldn-5-n7_#4,100,False
AMAZON_lon-drch-pb1-nc5_#1,100,False
AMAZON_lon-thw-pb3-nc5_#1,100,False
AMAZON_lon-thw-pb3-nc5_#2,100,False
AMAZON_lon-thw-pb3-nc5_#3,100,False
AMAZON_lon-thw-pb3-nc5_#4,100,False
AMAZON_par-pa3-pb2-ptx_#1,100,False
AMAZON_par-th2-pb3-nc5_#1,100,False
AMAZON_par-th2-pb3-nc5_#2,100,False
AMAZON_par-th2-pb3-nc5_#3,100,False
AMAZON_par-th2-pb3-nc5_#4,100,False
AMAZON_th2-1-n7_#1,100,False
AMAZON_th2-1-n7_#2,100,False
AMAZON_th2-1-n7_#3,100,False
AMAZON_th2-1-n7_#4,100,False
AMS-IX_ARELION_#1,100,False
AMS-IX_ams-1-n7_#1,100,False
AMS-IX_ams-1-n7_#2,100,False
AMS-IX_ams-1-n7_#3,100,False
AMS-IX_ams-1-n7_#4,100,False
AMS-IX_ams-5-n7_#1,100,False
AMS-IX_ams-5-n7_#2,100,False
AMS-IX_ams-5-n7_#3,100,False
AMS-IX_ams-5-n7_#4,100,False
AMS-IX_ams-gsa1-pb2-ptx_#1,100,False
AMS-IX_ams-gsa1-pb2-ptx_#2,100,False
AMS-IX_ams-gsa1-pb2-ptx_#3,100,False
AMS-IX_ams-gsa1-pb2-ptx_#4,100,False
AMS-IX_ams-gsa1-pb3-8k_#1,100,False
AMS-IX_ams-gsa1-pb3-8k_#2,100,False
AMS-IX_ams-gsa1-pb3-8k_#3,100,False
AMS-IX_ams-gsa1-pb3-8k_#4,100,False
ARELION_AMS-IX_#1,100,False
ARELION_ams-1-n7_#1,100,False
ARELION_ams-ams9-pb1-ptx_#1,100,False
ARELION_ams-gsa1-pb2-ptx_#1,100,False
ARELION_bru-bru1-pb2-8k_#1,100,False
ARELION_fra-fr5-pb4-nc5_#1,100,False
ARELION_fra-fr5-pb6-nc5_#1,100,False
ARELION_lon-drch-pb1-nc5_#1,100,False
ARELION_lon-thw-pb2-nc5_#1,100,False
ARELION_mad-mad2-pb1-ptx_#1,100,False
ARELION_mil-kpn-pb1-nc5_#1,100,False
ARELION_par-pa3-pb1-nc5_#1,100,False
ARELION_par-th2-pb1-nc5_#1,100,False
ARELION_vie-vie2-pb1-nc5_#4,100,False
ARELION_waw-wa1-pb1-nc5_#1,100,False
BELGIUM-IX_bru-bru1-bb2-a72_#1,100,False
BELGIUM-IX_bru-bru1-pb2-8k_#1,100,False
BICS-TANGO_bru-1-a72_#1,100,False
BICS-TANGO_bru-1-a72_#2,100,False
BICS-TANGO_bru-1-a72_#3,100,False
BICS-TANGO_bru-1-a72_#4,100,False
BICS-TANGO_bru-bru1-pb1-ptx_#1,100,False
BICS-TANGO_bru-bru1-pb1-ptx_#2,100,False
BICS-TANGO_bru-bru1-pb1-ptx_#3,100,False
BLAZINGFAST_ams-ams9-pb1-ptx_#1,100,False
BNIX_bru-1-a72_#1,100,False
BNIX_bru-bru1-bb2-a72_#1,100,False
BNIX_bru-bru1-pb1-ptx_#1,100,False
BOUYGUES_GOOGLE_#1,100,False
BOUYGUES_ORANGE_#1,100,False
BOUYGUES_par-th2-pb2-nc5_#1,100,False
BOUYGUES_th2-1-n7_#1,100,False
BT_ldn-1-n7_#1,100,False
BT_ldn-5-n7_#1,100,False
BT_lon-thw-pb1-nc5_#1,100,False
BT_lon-thw-pb2-nc5_#1,100,False
CDN77_ONLINE_#1,100,False
CDN77_VERIZON_#1,100,False
CDN77_ams-ams9-pb1-ptx_#1,100,False
CDN77_fra-1-n7_#1,100,False
CDN77_fra-5-n7_#1,100,False
CDN77_fra-fr5-pb1-ptx_#1,100,False
CDN77_par-th2-pb1-nc5_#1,100,False
CDN77_th2-1-n7_#1,100,False
CHINAMOBILE_ldn-1-n7_#1,100,False
CHINAMOBILE_ldn-1-n7_#2,100,False
CHINAMOBILE_lon-thw-pb3-nc5_#1,100,False
CHINAMOBILE_lon-thw-pb3-nc5_#2,100,False
CHINAMOBILE_par-pa3-pb1-nc5_#1,100,False
CHINAMOBILE_par-pa3-pb2-ptx_#1,100,False
CHINAMOBILE_par-pa3-vcoagg1-n92_#1,100,False
CLOUDFLARE_fra-1-n7_#1,100,False
CLOUDFLARE_fra-5-n7_#1,100,False
CLOUDFLARE_fra-fr5-pb3-nc5_#1,100,False
CLOUDFLARE_lon-thw-pb1-nc5_#1,100,False
CLOUDFLARE_lon-thw-pb2-nc5_#1,100,False
CLOUDFLARE_par-pa3-pb1-nc5_#1,100,False
CLOUDFLARE_par-pa3-pb2-ptx_#1,100,False
CLOUDVIDER_fra-5-n7_#1,100,False
CLOUDVIDER_lon-thw-pb2-nc5_#1,100,False
CLOUVIDER_fra-5-n7_#1,100,False
CLOUVIDER_fra-fr5-pb5-nc5_#1,100,False
CLOUVIDER_lon-thw-pb2-nc5_#1,100,False
COGENT_JASTEL_#2,100,False
COGENT_OTI_#1,100,False
COGENT_OTI_#2,100,False
COGENT_VODAFONE_#1,100,False
COGENT_ams-1-n7_#1,100,False
COGENT_ams-5-n7_#1,100,False
COGENT_ams-gsa1-pb1-8k_#1,100,False
COGENT_ams-gsa1-pb3-8k_#1,100,False
COGENT_fra-fr5-pb2-nc5_#1,100,False
COGENT_fra-fr5-pb3-nc5_#1,100,False
COGENT_gsw-1-n7_#1,100,False
COGENT_ldn-1-n7_#1,100,False
COGENT_ldn-5-n7_#1,100,False
COGENT_lon-drch-pb1-nc5_#1,100,False
COGENT_lon-thw-pb1-nc5_#1,100,False
COGENT_lon-thw-pb2-nc5_#1,100,False
COGENT_mad-1-n7_#1,100,False
COGENT_mad-mad2-pb1-ptx_#1,100,False
COGENT_par-gsw-pb1-nc5_#1,100,False
COGENT_par-th2-pb2-nc5_#1,100,False
COGENT_th2-1-n7_#1,100,False
COGENT_var-5-n93_#1,100,False
COGENT_vie-vie2-pb1-nc5_#4,100,False
COGENT_waw-wa1-pb1-nc5_#1,100,False
CORE-BACKBONE_fra-5-n7_#1,100,False
CORE-BACKBONE_fra-fr5-pb5-nc5_#1,100,False
CORE-BACKBONE_par-th2-pb2-nc5_#1,100,False
D-TAG_fra-1-n7_#1,100,False
D-TAG_fra-1-n7_#2,100,False
D-TAG_fra-fr5-pb1-ptx_#1,100,False
D-TAG_fra-fr5-pb1-ptx_#2,100,False
D-TAG_fra-fr5-pb2-nc5_#1,100,False
D-TAG_fra-fr5-pb2-nc5_#2,100,False
DATA-IX_fra-1-n7_#1,100,False
DATA-IX_fra-fr5-pb5-nc5_#1,100,False
DE-CIX_fra-1-n7_#1,100,False
DE-CIX_fra-1-n7_#2,100,False
DE-CIX_fra-1-n7_#3,100,False
DE-CIX_fra-5-n7_#1,100,False
DE-CIX_fra-5-n7_#2,100,False
DE-CIX_fra-5-n7_#3,100,False
DE-CIX_fra-fr5-pb2-nc5_#1,100,False
DE-CIX_fra-fr5-pb2-nc5_#2,100,False
DE-CIX_fra-fr5-pb2-nc5_#3,100,False
DE-CIX_fra-fr5-pb3-nc5_#1,100,False
DE-CIX_fra-fr5-pb3-nc5_#2,100,False
DE-CIX_fra-fr5-pb3-nc5_#3,100,False
DECIX MAD_mad-1-n7_#1,100,False
DECIX MAD_mad-mad2-pb1-ptx_#1,100,False
DTAG_fra-5-n7_#1,100,False
DTAG_fra-fr5-pb3-nc5_#1,100,False
DTEL-IX_var-1-n7_#1,100,False
DTEL-IX_waw-wa2-pb1-nc5_#1,100,False
EQUINIX_AMAZON_#1,100,False
EQUINIX_AMAZON_#4,100,False
EQUINIX_FRANCE-IX_#1,100,False
EQUINIX_SEABONE_#1,100,False
EQUINIX_par-pa3-pb2-ptx_#1,100,False
EQUINIX_par-th2-pb2-nc5_#1,100,False
